challenge_title,challenge_id,deck_id,item_id,position,front,back,example,media_url,options_json,created_at_utc
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,0f4317272654459794ab7a70b695e7f1,cb887455472745208806d5aae0bbb11d,0,Pourquoi voulez-vous devenir français(e) ?,"Expliquez que vous vous sentez aujourd'hui plus proche de la France que de votre pays d'origine, citez les valeurs françaises auxquelles vous adhérez, votre projet personnel ou professionnel construit en France, votre mode de vie « à la française », et votre admiration pour la place de la France dans le monde (économie, aéronautique, industrie du luxe, patrimoine culturel).",,,[],2026-07-03T14:37:01Z
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,0f4317272654459794ab7a70b695e7f1,7da9609abe2c42228692668debaa66b3,1,À quelle fréquence rentrez-vous dans votre pays d'origine ?,Répondez avec un chiffre exact et soyez honnête : l'administration peut vérifier les tampons d'entrée et de sortie sur votre passeport.,,,[],2026-07-03T14:37:01Z
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,0f4317272654459794ab7a70b695e7f1,438f038c210c4a8e83df91ad4877e289,2,Pourquoi êtes-vous venu(e) en France pour la première fois ?,"Répondez selon votre situation réelle : pour les études, pour le travail, ou pour rejoindre votre famille en France.",,,[],2026-07-03T14:37:01Z
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,0f4317272654459794ab7a70b695e7f1,381f850f7e1c48289a4b188b5605c4c9,3,Qu'avez-vous trouvé en France que vous n'avez pas dans votre pays d'origine ?,"Valorisez la France selon votre expérience réelle : par exemple la démocratie, la liberté, la culture, la science.",,,[],2026-07-03T14:37:01Z
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,0f4317272654459794ab7a70b695e7f1,2dcfcfaab0e94a8d924cd4f4c5151464,4,Avez-vous des liens personnels et familiaux en France ?,"Citez tous vos liens familiaux et amicaux en France (cousins, grands-parents, parents, amis) pour montrer que votre intégration repose sur des attaches solides en France.",,,[],2026-07-03T14:37:01Z
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,0f4317272654459794ab7a70b695e7f1,5cb6663b1afb4e3c89dfa294060c9176,5,Avez-vous de la famille proche ou lointaine restée dans votre pays d'origine ? Comptez-vous la faire venir en France ?,"C'est une question piège : vos oncles, cousins, grands-parents et famille éloignée n'ont pas le droit de s'installer en France simplement parce que vous devenez français(e). Répondez honnêtement que vous avez de la famille là-bas mais que vous ne comptez pas la faire venir en France.",,,[],2026-07-03T14:37:01Z
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,0f4317272654459794ab7a70b695e7f1,945b203d550d4403b628965d9a110242,6,Où passez-vous vos vacances ?,"Basez votre réponse sur des villes françaises que vous avez réellement visitées (par exemple Nice, Paris, Lille, Brest, Marseille, Strasbourg).",,,[],2026-07-03T14:37:01Z
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,0f4317272654459794ab7a70b695e7f1,1bf8a00f439b44978b5ee24f539ad88a,7,Quelles sont les nationalités des personnes de votre entourage ?,Montrez que la majorité des personnes qui vous entourent sont françaises et que vous n'êtes pas dans une logique de communautarisme.,,,[],2026-07-03T14:37:01Z
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,0f4317272654459794ab7a70b695e7f1,96d7ab3a7eea4cbf96a60eca2692ac35,8,"Êtes-vous membre d'une association ? Laquelle, et depuis quand ?","Ce n'est pas obligatoire, mais si vous êtes ou avez été membre d'une association (surtout une association d'aide aux personnes démunies), mentionnez-le : c'est un point positif. Attention, faire un don à une association ne fait pas de vous un membre.",,,[],2026-07-03T14:37:01Z
French Naturalization Prep 🇫🇷,8780918c227541c089498430da290c8d,0f4317272654459794ab7a70b695e7f1,d8dcb572eacd4542ac428f08f022f230,9,Où se trouve le siège de cette association ?,Répondez le plus honnêtement possible : une enquête peut avoir été menée à ce sujet.,,,[],2026-07-03T14:37:01Z
